filepath,lynx_id,date,location
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2018_2019/B11_Kika/extensiv/Luderplatz R08-E/RCNX1964.jpg,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2011_2012/B11_Kika_Silva_Juv.08/WG Neuhüttenwiese/15.07.11/15.07.11_1.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2012_2013/B11_Kika_Silva_Juv.08/Wasserhaeusl/21.01.13/21.01.13_1.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2010_2011/B11_Kika_Silva_Juv.08/WG Neuhüttenwiese/25.09.10/25.09.10_2.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2015_2016/B11_Kika/Wasserhaeusl/17.09.15/17.09.15_R.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2016_2017/B11_Kika/WG Neuhuettenwiese/01.01.17/01.01.17_R.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2013_2014/B11_Kika_Silva_Juv.08/Wasserhaeusl/30.01.14/30.01.14_2.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2010_2011/B11_Kika_Silva_Juv.08/Racheldiensthütte/04.11.10/04.11.10.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2013_2014/B11_Kika_Silva_Juv.08/extensiv/Lichtbuchet/23.10.13/23.10.13 (13).JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2012_2013/B11_Kika_Silva_Juv.08/Wasserhaeusl/24.04.13/24.04.13_2.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2010_2011/B11_Kika_Silva_Juv.08/Racheldiensthütte/08.12.10/08.12.10_2_AM PM vertauscht.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2018_2019/B11_Kika/Wasserhaeusl/20180822_R.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2013_2014/B11_Kika_Silva_Juv.08/Wasserhaeusl/11.12.13/11.12.13.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2015_2016/B11_Kika/Wasserhaeusl/06.07.15/06.07.15_L.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2010_2011/B11_Kika_Silva_Juv.08/WG Neuhütte/21.03.2011/21.03.2011_1.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2012_2013/B11_Kika_Silva_Juv.08/extensiv/Riss Norris/07.05.12/Kika Norris 20120507.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2013_2014/B11_Kika_Silva_Juv.08/Jaegerfleck/05.11.13/05.11.13.JPG,11_DE,,
/lustre/fsn1/projects/rech/ads/commun/datasets/extracted/germany/BFNP_Heurich/2015_2016/B11_Kika/Lusenparkplatz/01.09.15/01.09.1_R.JPG,11_DE,,
